firstname,lastname,addressLine1,addressLine2,city,comment,email,itemnumber,,phone,state,zipCode
Nancy1,Drew1,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,1,,1111111111,NSW,111111
Nancy2,Drew2,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,2,,1111111112,NSW,111112
Nancy3,Drew3,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,3,,1111111113,NSW,111113
Nancy4,Drew4,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,4,,1111111114,NSW,111114
Nancy5,Drew5,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,5,,1111111115,NSW,111115
Nancy6,Drew6,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,6,,1111111116,NSW,111116
Nancy7,Drew7,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,7,,1111111117,NSW,111117
Nancy8,Drew8,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,8,,1111111118,NSW,111118
Nancy9,Drew9,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,9,,1111111119,NSW,111119
Nancy10,Drew10,Good street,Westmead,Sydney,test csv comment,nancy@drew.com,10,,1111111120,NSW,111120
